Rank,Root Domain
1,youtube.com
2,www.google.com
3,support.google.com
4,apple.com
5,www.blogger.com
6,linkedin.com
7,microsoft.com
8,play.google.com
9,docs.google.com
10,cloudflare.com
11,en.wikipedia.org
12,wordpress.org
13,maps.google.com
14,youtu.be
15,mozilla.org
16,plus.google.com
17,whatsapp.com
18,googleusercontent.com
19,accounts.google.com
20,sites.google.com
21,bp.blogspot.com
22,europa.eu
23,drive.google.com
24,adobe.com
25,vimeo.com
26,vk.com
27,istockphoto.com
28,amazon.com
29,es.wikipedia.org
30,uol.com.br
31,facebook.com
32,github.com
33,t.me
34,reuters.com
35,search.google.com
36,nih.gov
37,mail.google.com
38,imdb.com
39,google.de
40,myspace.com
41,feedburner.com
42,forbes.com
43,pt.wikipedia.org
44,developers.google.com
45,google.com.br
46,w3.org
47,brandbucket.com
48,news.google.com
49,dan.com
50,bbc.co.uk
51,terra.com.br
52,paypal.com
53,jimdofree.com
54,theguardian.com
55,medium.com
56,who.int
57,google.co.jp
58,youronlinechoices.com
59,enable-javascript.com
60,www.yahoo.com
61,fr.wikipedia.org
62,tools.google.com
63,nytimes.com
64,creativecommons.org
65,issuu.com
66,live.com
67,www.weebly.com
68,gstatic.com
69,globo.com
70,slideshare.net
71,wikimedia.org
72,line.me
73,dailymotion.com
74,cnn.com
75,dropbox.com
76,google.es
77,files.wordpress.com
78,bbc.com
79,policies.google.com
80,de.wikipedia.org
81,aliexpress.com
82,huffingtonpost.com
83,mediafire.com
84,photos.google.com
85,nature.com
86,nasa.gov
87,aboutads.info
88,un.org
89,get.google.com
90,list-manage.com
91,wired.com
92,google.fr
93,t.co
94,rakuten.co.jp
95,draft.blogger.com
96,buydomains.com
97,wikia.com
98,independent.co.uk
99,wp.com
100,amazon.de
101,archive.org
102,scribd.com
103,usatoday.com
104,telegram.me
105,fandom.com
106,fb.com
107,google.it
108,researchgate.net
109,ipv4.google.com
110,cpanel.net
111,ok.ru
112,time.com
113,washingtonpost.com
114,gravatar.com
115,tinyurl.com
116,myaccount.google.com
117,www.gov.uk
118,bloomberg.com
119,networkadvertising.org
120,lefigaro.fr
121,elmundo.es
122,cdc.gov
123,marketingplatform.google....
124,hugedomains.com
125,wa.me
126,news.yahoo.com
127,indiatimes.com
128,estadao.com.br
129,pinterest.com
130,bit.ly
131,android.com
132,telegraph.co.uk
133,booking.com
134,id.wikipedia.org
135,forms.gle
136,google.ru
137,msn.com
138,amazon.es
139,abril.com.br
140,cnet.com
141,pixabay.com
142,hatena.ne.jp
143,mail.ru
144,dailymail.co.uk
145,thesun.co.uk
146,huffpost.com
147,foxnews.com
148,google.co.uk
149,mirror.co.uk
150,books.google.com
151,elpais.com
152,wsj.com
153,amazon.co.jp
154,ig.com.br
155,abcnews.go.com
156,picasaweb.google.com
157,ytimg.com
158,namecheap.com
159,sedo.com
160,translate.google.com
161,netvibes.com
162,opera.com
163,google.pl
164,businessinsider.com
165,amazon.co.uk
166,change.org
167,goo.gl
168,twitter.com
169,plesk.com
170,office.com
171,4shared.com
172,cpanel.com
173,adssettings.google.com
174,skype.com
175,tiktok.com
176,welt.de
177,gofundme.com
178,ft.com
179,zoom.us
180,ebay.com
181,whitehouse.gov
182,pl.wikipedia.org
183,washington.edu
184,techcrunch.com
185,lemonde.fr
186,cornell.edu
187,alexa.com
188,photos1.blogger.com
189,secureserver.net
190,hp.com
191,samsung.com
192,target.com
193,imageshack.us
194,disney.com
195,eventbrite.com
196,nginx.org
197,wikihow.com
198,stanford.edu
199,webmd.com
200,abc.es
201,buzzfeed.com
202,liberation.fr
203,akamaized.net
204,britannica.com
205,gooyaabitemplates.com
206,nationalgeographic.com
207,shutterstock.com
208,yahoo.co.jp
209,ca.gov
210,akamaihd.net
211,guardian.co.uk
212,ietf.org
213,deezer.com
214,twitch.tv
215,sfgate.com
216,metro.co.uk
217,arxiv.org
218,ria.ru
219,oup.com
220,20minutos.es
221,alibaba.com
222,fb.me
223,addthis.com
224,tmz.com
225,vice.com
226,spiegel.de
227,www.wikipedia.org
228,mega.nz
229,sapo.pt
230,francetvinfo.fr
231,gnu.org
232,detik.com
233,npr.org
234,cbsnews.com
235,www.wix.com
236,prezi.com
237,t-online.de
238,usnews.com
239,netlify.app
240,nikkei.com
241,freepik.com
242,espn.com
243,springer.com
244,zdf.de
245,doubleclick.net
246,hm.com
247,picasa.google.com
248,kickstarter.com
249,instagram.com
250,cambridge.org
251,yelp.com
252,ea.com
253,themeforest.net
254,ikea.com
255,qq.com
256,amazon.fr
257,search.yahoo.com
258,afternic.com
259,rtve.es
260,discord.gg
261,naver.com
262,as.com
263,calendar.google.com
264,netflix.com
265,google.nl
266,academia.edu
267,google.co.in
268,plos.org
269,bp2.blogger.com
270,lavanguardia.com
271,storage.googleapis.com
272,google.com.tw
273,lycos.com
274,discord.com
275,unesco.org
276,rapidshare.com
277,shopify.com
278,ted.com
279,sky.com
280,thetimes.co.uk
281,nydailynews.com
282,dailystar.co.uk
283,psychologytoday.com
284,cnil.fr
285,rt.com
286,urbandictionary.com
287,amzn.to
288,photobucket.com
289,php.net
290,gmail.com
291,berkeley.edu
292,playstation.com
293,cnbc.com
294,m.wikipedia.org
295,bloglovin.com
296,surveymonkey.com
297,godaddy.com
298,mozilla.com
299,disqus.com
300,apache.org
301,news.com.au
302,nypost.com
303,mit.edu
304,finance.yahoo.com
305,e-monsite.com
306,sciencedirect.com
307,sendspace.com
308,bandcamp.com
309,it.wikipedia.org
310,weibo.com
311,ovh.com
312,ja.wikipedia.org
313,groups.google.com
314,engadget.com
315,express.co.uk
316,tripadvisor.com
317,gizmodo.com
318,repubblica.it
319,newyorker.com
320,oracle.com
321,goodreads.com
322,quora.com
323,bing.com
324,walmart.com
325,theatlantic.com
326,wiley.com
327,standard.co.uk
328,bp1.blogger.com
329,ign.com
330,code.google.com
331,feedproxy.google.com
332,addtoany.com
333,abc.net.au
334,canada.ca
335,pexels.com
336,slate.com
337,aol.com
338,www.gov.br
339,dw.com
340,sputniknews.com
341,nbcnews.com
342,yandex.ru
343,nginx.com
344,theverge.com
345,insider.com
346,instructables.com
347,bild.de
348,chicagotribune.com
349,sciencedaily.com
350,dreamstime.com
351,steampowered.com
352,cbc.ca
353,ru.wikipedia.org
354,zendesk.com
355,clarin.com
356,www.over-blog.com
357,mashable.com
358,spotify.com
359,outlook.com
360,latimes.com
361,amazon.it
362,yadi.sk
363,newsweek.com
364,leparisien.fr
365,doi.org
366,ovh.net
367,huawei.com
368,clickbank.net
369,xbox.com
370,smh.com.au
371,ggpht.com
372,ziddu.com
373,harvard.edu
374,hollywoodreporter.com
375,ftc.gov
376,google.ca
377,biglobe.ne.jp
378,bitly.com
379,googleblog.com
380,economist.com
381,about.com
382,soundcloud.com
383,sciencemag.org
384,privacyshield.gov
385,icann.org
386,variety.com
387,pbs.org
388,weforum.org
389,pewresearch.org
390,dell.com
391,house.gov
392,okezone.com
393,coursera.org
394,so-net.ne.jp
395,dreniq.com
396,interia.pl
397,apnews.com
398,corriere.it
399,blackberry.com
400,last.fm
401,a8.net
402,windows.net
403,sakura.ne.jp
404,thehill.com
405,about.me
406,mystrikingly.com
407,oecd.org
408,behance.net
409,utexas.edu
410,gfycat.com
411,steamcommunity.com
412,searchenginejournal.com
413,scientificamerican.com
414,gutenberg.org
415,psu.edu
416,faz.net
417,www.livejournal.com
418,ndtv.com
419,udemy.com
420,focus.de
421,adweek.com
422,sagepub.com
423,greenpeace.org
424,airbnb.com
425,upenn.edu
426,kotaku.com
427,offset.com
428,mysql.com
429,parallels.com
430,thestar.com
431,venturebeat.com
432,unicef.org
433,box.com
434,iubenda.com
435,legifrance.gouv.fr
436,eonline.com
437,digg.com
438,usgs.gov
439,orange.fr
440,ubuntu.com
441,indiegogo.com
442,uefa.com
443,twimg.com
444,amazon.ca
445,espn.go.com
446,python.org
447,nokia.com
448,biblegateway.com
449,businesswire.com
450,mailchimp.com
451,zeit.de
452,umich.edu
453,dictionary.com
454,fifa.com
455,boston.com
456,theconversation.com
457,ssl-images-amazon.com
458,etsy.com
459,nba.com
460,asahi.com
461,ebay.co.uk
462,narod.ru
463,ibm.com
464,ap.org
465,dribbble.com
466,unsplash.com
467,fda.gov
468,wiktionary.org
469,nicovideo.jp
470,worldbank.org
471,entrepreneur.com
472,canva.com
473,fastcompany.com
474,pnas.org
475,marriott.com
476,e-recht24.de
477,arstechnica.com
478,evernote.com
479,thedailybeast.com
480,loc.gov
481,depositfiles.com
482,xing.com
483,newscientist.com
484,tes.com
485,hindustantimes.com
486,soratemplates.com
487,xinhuanet.com
488,usda.gov
489,vox.com
490,timeout.com
491,kakao.com
492,unam.mx
493,wisc.edu
494,zdnet.com
495,softonic.com
496,prnewswire.com
497,tabelog.com
498,answers.com
499,bp0.blogger.com
500,example.com
